id,chain,co_owned,state,emp_diff,wage_st,wage_st2,hrsopen,hrsopen2,fte,fte2,meal_price,meal_price2
45,Burger King,0,PA,1,4.25,4.25,16,17.5,18,19,2.67,2.59
48,Burger King,0,PA,6,4.25,4.38,14,14,19,25,2.48,2.64
50,KFC,0,PA,3,4.5,4.75,12,13,14,17,5.4,4.25
51,KFC,0,PA,6,4.25,4.25,13,13,10.5,16.5,4.25,4.24
57,Wendy's,1,PA,-18,4.67,4.5,12,12,38,20,2.56,2.69
58,Wendy's,1,PA,-5.5,4.75,4.5,12,12,23.5,18,2.6500000000000004,2.82
59,Wendy's,0,PA,1.5,4.25,4.25,10.5,10.5,10.5,12,2.6100000000000003,2.71
60,Wendy's,0,PA,0,4.25,4.25,11.5,12,25,25,2.54,2.6799999999999997
407,KFC,1,PA,0,4.75,4.25,10,11,11,11,4.02,4.32
430,Burger King,0,PA,-9.5,4.25,4.25,15,16,36.5,27,2.5,2.39
432,Burger King,0,PA,-18.5,4.5,5.05,16,16,52.5,34,2.4699999999999998,2.4699999999999998
434,Burger King,0,PA,-7.5,4.25,4.25,16,16,45,37.5,NA,2.55
435,Burger King,0,PA,-1.75,4.25,4.25,15.5,15.5,22.75,21,2.49,2.4699999999999998
438,KFC,0,PA,2,4.25,4.25,8,9,7.5,9.5,4.28,4.220000000000001
441,Wendy's,0,PA,-20,4.25,4.25,11.5,11.5,38,18,2.5,3.6100000000000003
443,Wendy's,0,PA,1.5,4.25,4.35,11.5,11.5,17.5,19,3.4800000000000004,3.6100000000000003
444,Wendy's,0,PA,6.5,4.25,4.5,12.5,11.5,25,31.5,2.53,NA
448,Burger King,0,PA,3.5,4.75,4.5,18,18,21,24.5,2.72,2.66
449,Burger King,0,PA,12,4.87,5,18,18,15.5,27.5,NA,2.54
450,Burger King,0,PA,19,4.75,4.75,16.5,18,15.5,34.5,2.63,2.61
454,KFC,1,PA,5.5,4.5,5,10,11,8.5,14,4.199999999999999,4.3100000000000005
459,Roy's,1,PA,-3,4.25,4.35,16,15,18,15,2.89,2.91
471,Burger King,0,PA,-12.5,4.25,4.25,18,18,39,26.5,2.72,2.74
472,Burger King,0,PA,-18,4.25,4.9,16.5,17,41.5,23.5,2.93,2.71
473,Burger King,0,PA,13,4.75,4.5,17,17,22.5,35.5,2.72,2.67
475,Burger King,0,PA,-11,4.5,4.5,15,15,32,21,2.81,2.86
476,Burger King,0,PA,-1,4.25,4.75,18,18,24,23,2.65,2.9799999999999995
477,Burger King,0,PA,-6,4.25,6.25,16.5,17,26,20,2.74,2.69
478,Burger King,0,PA,-21.5,4.5,4.35,19,18,48.5,27,2.74,2.8000000000000003
485,KFC,1,PA,4.5,4.5,4.5,10,11,8.5,13,4.02,4.06
492,Roy's,1,PA,0.5,4.5,4.5,12.5,12.5,13,13.5,3.1,3.2700000000000005
498,Wendy's,1,PA,-1.25,4.75,5,12,12,28,26.75,2.6,2.7199999999999998
501,Burger King,0,PA,19,4.25,4.75,16.5,18,24.5,43.5,2.62,2.85
503,Burger King,0,PA,22.75,4.75,4.5,16.5,18,18.5,41.25,2.72,2.81
511,Roy's,1,PA,-2.5,4.75,4.75,16.5,15,15,12.5,2.9699999999999998,2.91
514,Roy's,0,PA,16,4.5,4.25,16,16,18,34,2.78,2.95
516,Roy's,1,PA,-10.25,4.75,4.91,16,14,20.25,10,3.01,2.85
521,Burger King,0,PA,-1.5,4.25,4.4,16.5,16,15.5,14,NA,2.14
522,Burger King,0,PA,-3.5,4.35,4.25,16,16,21,17.5,2.81,2.69
6,Roy's,1,NJ,3,5,5.05,7,8,5,8,4.720000000000001,4.35
14,KFC,0,NJ,-0.5,5.12,5.05,11,11,16,15.5,4.4,4.59
26,Burger King,0,NJ,-17.5,5.56,5.05,16,16,41.5,24,2.95,2.8899999999999997
27,KFC,1,NJ,-5.5,5,5.05,10,10,13,7.5,4.25,4.42
30,KFC,0,NJ,-2.5,5,5.05,10,10,10,7.5,4.65,4.55
31,KFC,0,NJ,3.5,5.25,5.05,11,12.5,15,18.5,4.65,4.6899999999999995
33,Roy's,0,NJ,-9.5,5,5.05,17,17,26,16.5,3.04,3.2199999999999998
36,Wendy's,0,NJ,15.5,5.5,5.05,13,12.5,18,33.5,4.5,3.03
77,Roy's,0,NJ,2,5,5.05,19,19,35,37,3.42,3.17
78,Roy's,1,NJ,-3,5,5.05,17,16,21,18,3.16,3.17
81,Wendy's,0,NJ,-8,5,5.05,12,11.5,34.5,26.5,3.1,4.16
82,Wendy's,0,NJ,14.75,5,5.05,13.5,13.5,18.25,33,3.15,3.1399999999999997
85,Burger King,0,NJ,0.5,5.5,5.05,12.5,12.5,20,20.5,3.16,3.17
89,Burger King,1,NJ,8.5,5,5.5,16,16,16,24.5,3.08,3.17
94,KFC,0,NJ,-1.5,5,5.05,10,10,17.5,16,4.42,4.37
112,Wendy's,0,NJ,3.5,5,5.05,14,12.5,20,23.5,3.1,4.27
128,KFC,1,NJ,0.75,5,5.05,11,11,12.25,13,4.25,4.16
129,Roy's,0,NJ,-13,5.25,5.05,16,16,33,20,2.84,3.0000000000000004
131,Roy's,0,NJ,-9.5,5.5,5.05,17,15,31.5,22,3.18,3.21
144,Wendy's,0,NJ,-2.5,5.05,5.05,12.5,12.5,28,25.5,2.8200000000000003,3.1399999999999997
145,Burger King,0,NJ,1.5,5,5.28,16,16,16.5,18,2.96,2.96
147,Burger King,0,NJ,-5.75,5.12,5.25,14,14,14.75,9,2.96,2.95
148,Burger King,0,NJ,3,5.25,5.05,17,17,23.5,26.5,2.96,2.9299999999999997
152,Burger King,0,NJ,-22.75,5.12,5.05,15,15,46.5,23.75,3.14,3.0399999999999996
157,KFC,0,NJ,2.5,5,5.5,12,11,15.5,18,4.1,4.25
161,Roy's,1,NJ,11.5,5,5.05,17,17,24.5,36,3.2,3.2199999999999998
163,Roy's,1,NJ,-3,5,5.05,16.5,15,24,21,3.33,NA
164,Roy's,1,NJ,-7.5,5,5.05,19,17,23,15.5,3.2,3.2199999999999998
165,Wendy's,0,NJ,-5.5,5,5.05,12.5,12.5,28,22.5,3.0100000000000002,3.08
169,Burger King,1,NJ,-5.5,5,5.05,16,16,32.5,27,3.08,3.21
170,Burger King,1,NJ,11,5,5.05,16,16,23,34,3.2,3.58
187,Roy's,0,NJ,-0.25,5.62,5.05,15,15,17,16.75,3.27,3.2199999999999998
190,Roy's,1,NJ,-4,5,5.05,16,15,30,26,3.15,3.8
196,Wendy's,1,NJ,-3.5,5,5.05,11.5,12.5,21.5,18,2.86,4.01
197,Burger King,0,NJ,-11.5,5,5.05,17,17,32,20.5,2.77,2.95
234,Burger King,0,NJ,7,5,5.05,16,16,8,15,NA,2.63
240,Roy's,1,NJ,-10,5.1,5.05,17,17,35.5,25.5,3.2600000000000002,3.1500000000000004
242,Roy's,1,NJ,-13,5.25,5.05,17,16,33,20,3.18,3.2199999999999998
245,Roy's,0,NJ,-4,5.5,5.05,13.5,13,22,18,3.2399999999999998,3.2700000000000005
259,Burger King,0,NJ,3.5,5,5.05,14.5,14.5,23,26.5,2.72,NA
268,Burger King,1,NJ,0.25,5,5.05,15,15,23,23.25,2.72,2.56
271,KFC,1,NJ,2,5,5.05,11,12,8.5,10.5,4.15,3.9099999999999997
272,KFC,1,NJ,-0.5,5.05,5.25,11,12,12.5,12,4.029999999999999,3.9899999999999998
274,KFC,1,NJ,0,5.5,5.05,10,11,9.5,9.5,3.9899999999999998,NA
276,KFC,1,NJ,2.5,5,5.05,10.5,12,13,15.5,3.88,4
296,Burger King,1,NJ,-2.5,5.3,5.05,16,16,17,14.5,3.0199999999999996,2.99
299,KFC,1,NJ,5,5,5.05,11.5,11.5,9,14,4.25,4.21
301,KFC,1,NJ,-12.5,5,5.05,10.5,10.5,19,6.5,4.25,4.1
320,KFC,0,NJ,-1.5,5,5.05,12,11,11.5,10,4.37,4.32
321,KFC,0,NJ,-1.5,5,5.05,12.5,12,13,11.5,4.42,4.32
324,Roy's,0,NJ,-1.5,5.25,5.05,24,24,48,46.5,NA,3.3200000000000003
326,Roy's,1,NJ,-19,5.15,5.05,24,24,45.5,26.5,NA,NA
330,Wendy's,0,NJ,1,5.42,5.67,15.5,14.5,15,16,2.8200000000000003,2.99
334,Burger King,0,NJ,-5,5,5.05,12.5,12.5,18,13,2.73,2.65
349,Roy's,1,NJ,-7,5,5.05,16,15,21,14,2.9800000000000004,2.96
354,Wendy's,0,NJ,-5,5.06,5.05,10.5,10.5,20.5,15.5,2.76,2.79
356,Wendy's,0,NJ,-2.5,5.05,5.05,11.5,11.5,20.5,18,2.81,2.9000000000000004
357,Wendy's,0,NJ,9.5,5,5.25,11.5,12.5,17.5,27,2.76,4.1899999999999995
371,Burger King,0,NJ,-0.5,5,5.25,16,16,27.5,27,3.0300000000000002,NA
373,Burger King,1,NJ,5.5,5,5.05,15.5,15.5,24,29.5,2.99,3.06
375,Burger King,0,NJ,-17.5,5.25,5.5,15,15,34,16.5,NA,3
378,Burger King,1,NJ,13.5,5,5.05,18.5,19,18,31.5,3.16,3.0700000000000003
381,Burger King,0,NJ,3.5,5,5.05,16.5,16.5,24,27.5,3.54,3.6900000000000004
406,Wendy's,1,NJ,-1.5,5,5.5,11.5,12.5,33.5,32,NA,3.7699999999999996
407,Wendy's,1,NJ,2.5,5.75,5.5,10.5,10.5,12,14.5,3.7199999999999998,4.529999999999999
409,Burger King,0,NJ,-24.5,5,5.05,15,15,35,10.5,3.01,3.1399999999999997
1,Burger King,0,NJ,9,4.5,5.05,16,16,35,44,2.61,2.74
2,Burger King,0,NJ,-0.5,4.75,5.25,14,15,16,15.5,2.93,3
3,KFC,0,NJ,-5,4.25,5.05,10,11,15.5,10.5,5.1,4.74
4,Roy's,0,NJ,5,4.75,5.05,12.5,13.5,19,24,4.1899999999999995,3.48
5,Roy's,0,NJ,5,4.5,5.15,17,17,24,29,NA,2.9299999999999997
9,Burger King,0,NJ,-16,4.37,5.05,16,16,36,20,2.56,3.04
10,Burger King,0,NJ,-2.5,4.25,5.05,16,16,29,26.5,2.74,2.75
11,Burger King,0,NJ,-2,4.25,5.05,16,16,29,27,2.89,2.86
12,Burger King,0,NJ,5.25,4.37,5.05,16,16,21.25,26.5,2.75,2.87
13,KFC,0,NJ,-5,4.5,5,10,11,15.5,10.5,4.67,4.7
15,Roy's,0,NJ,-1.5,4.6,5.05,17,17,19.5,18,2.95,4.0600000000000005
16,Roy's,0,NJ,-2.5,4.5,5.05,17,17,21,18.5,NA,3
17,Roy's,0,NJ,11.5,4.37,5.05,17,17,14,25.5,4.08,2.94
18,Roy's,0,NJ,1.5,4.25,5.05,17,17,30.5,32,NA,2.6799999999999997
19,Burger King,0,NJ,9.5,4.25,5.05,16,16,23.5,33,2.89,2.92
21,KFC,0,NJ,-6.5,4.45,5.05,10.5,10,14,7.5,3.99,4.3100000000000005
22,Roy's,0,NJ,-2,4.35,5.05,16,15,14.5,12.5,2.8499999999999996,3.04
23,Burger King,0,NJ,8.5,4.5,5.05,16,16.5,15.5,24,2.96,2.9299999999999997
24,Burger King,0,NJ,2.5,4.75,5.05,16,NA,26.5,29,3.0199999999999996,2.99
29,KFC,0,NJ,4,4.5,5.05,11,11,5.5,9.5,4.630000000000001,4.74
32,Roy's,0,NJ,-5.75,4.5,5.05,11.5,11.5,23.25,17.5,3.2,4.609999999999999
34,Roy's,1,NJ,2,4.95,5.05,11.5,11.5,15.5,17.5,3.2,3.06
35,Wendy's,0,NJ,-7.25,4.5,5.05,11.5,11.5,32.25,25,4.04,NA
38,Burger King,0,NJ,-4,4.25,5.05,17,17.5,30,26,2.98,2.5599999999999996
64,Burger King,0,NJ,-8,4.5,5.05,16,16,30.5,22.5,2.96,2.95
66,Burger King,0,NJ,8,4.25,5.05,17,17,27,35,2.96,2.95
67,Burger King,0,NJ,-0.75,4.5,5.05,13.5,13.5,18.5,17.75,3.4,3.59
68,Burger King,0,NJ,-13.5,4.25,5.05,17,17,38,24.5,3.11,2.95
69,Burger King,0,NJ,0,4.25,5.05,18,18,16.5,16.5,3.0700000000000003,3.27
70,Burger King,0,NJ,-20,4.5,5.05,16,16,50,30,3.03,3.01
71,Burger King,0,NJ,18.5,4.75,5.05,17,17,20.5,39,2.96,2.95
73,KFC,0,NJ,10.5,4.25,5.05,12,11,6.5,17,4.57,4.53
75,KFC,0,NJ,-1,4.25,5.05,11,11,13.5,12.5,5.21,5.07
76,Roy's,1,NJ,10.5,4.25,5.05,17,16.5,28,38.5,3.16,3.2199999999999998
79,Roy's,1,NJ,-1.5,4.5,5.05,17,16,21.5,20,3.25,3.2199999999999998
84,Burger King,0,NJ,8,4.5,5.05,16,16,24,32,2.8000000000000003,2.89
86,Burger King,0,NJ,-1.5,4.25,5.05,15,15,20.5,19,3.1,3.14
88,Burger King,0,NJ,3,4.25,5.05,15,15,23.5,26.5,2.8400000000000003,2.86
91,Burger King,1,NJ,-4,4.25,5.05,17,17,23,19,3.06,3.21
92,Burger King,1,NJ,3,4.25,5.05,15,15,17,20,3.0700000000000003,3.17
93,Burger King,1,NJ,2,4.25,5.05,16,16,20.5,22.5,NA,3.21
95,KFC,0,NJ,-13.5,4.25,5.05,10,10,23.5,10,4.42,4.33
96,KFC,0,NJ,3,4.25,5.05,10,10.5,9.5,12.5,4.73,4.58
97,KFC,0,NJ,1,4.25,5.05,10,10,10,11,4.33,4.390000000000001
98,KFC,0,NJ,-1.5,4.25,5.05,10,10,14,12.5,4.42,4.48
99,Roy's,1,NJ,-26,4.75,5.05,24,24,85,59,NA,4.709999999999999
101,Roy's,0,NJ,4,4.75,5.05,15,15,15,19,3.44,3.3
102,Roy's,0,NJ,-6,4.4,5.05,16,15,21.5,15.5,3.04,3.13
104,Wendy's,0,NJ,-34,4.62,5.05,11.5,12.5,53,19,2.73,2.78
105,Burger King,0,NJ,2.5,4.25,5.05,16.5,16.5,24,26.5,2.99,3.2
106,Burger King,0,NJ,-3,4.25,5.05,16,16,20.5,17.5,2.96,2.95
107,Burger King,1,NJ,6,4.25,5.05,14.5,14,14.5,20.5,3.0700000000000003,NA
108,Burger King,0,NJ,3,4.25,5.05,17,17,25,28,3.3400000000000003,3.4400000000000004
111,Roy's,0,NJ,3.25,4.25,5.05,16,16,27,30.25,3.24,3.32
114,Burger King,0,NJ,21.5,4.75,5.25,16,16.5,22.5,44,2.9699999999999998,2.9899999999999998
115,Burger King,0,NJ,-19,4.75,5.05,17,17,36.5,17.5,3.07,3.01
116,Burger King,0,NJ,13.75,4.25,5.05,13,13,17.25,31,3.62,3.55
118,Burger King,0,NJ,9.5,4.25,5.05,15,15,21.5,31,3.0199999999999996,2.99
119,Burger King,0,NJ,4,4.75,5.05,16.5,17.5,24.5,28.5,2.92,2.8899999999999997
120,Burger King,1,NJ,0,4.5,5.05,16,16,19,19,3.15,3.1500000000000004
122,Burger King,0,NJ,16,4.25,5.05,12.5,12.5,25,41,NA,3.2399999999999998
124,Burger King,0,NJ,12,4.25,5.05,15,15,16,28,3.0100000000000002,3.2199999999999998
125,KFC,0,NJ,-9.5,4.5,5.05,12.5,12,19,9.5,4.1,4.51
130,Roy's,1,NJ,2.25,4.5,5.05,18,16,22.75,25,3.1900000000000004,3.2199999999999998
132,Roy's,1,NJ,-7,4.5,5.5,24,14,35,28,4.64,NA
133,Roy's,1,NJ,0,4.75,5.05,17,15,16,16,3.2500000000000004,4.279999999999999
134,Roy's,0,NJ,1.75,4.62,5.05,16,16,21,22.75,NA,3.11
137,Roy's,1,NJ,1.5,4.25,5.05,16,15,30.5,32,3.2,3.2700000000000005
140,Wendy's,0,NJ,4.5,4.5,5.67,11.5,11.5,23,27.5,2.83,2.99
141,Wendy's,0,NJ,4,4.75,5.05,12.5,12.5,21.5,25.5,2.99,3.2300000000000004
142,Wendy's,0,NJ,24,4.25,5.05,11.5,11.5,36.5,60.5,3.07,3.16
146,Burger King,0,NJ,-2.5,4.8,5.05,16,16,23,20.5,3.12,3.09
149,Burger King,0,NJ,2,4.5,5.05,16,16,14,16,2.96,2.9299999999999997
150,Burger King,0,NJ,7.75,4.67,5.75,16,15,17.25,25,3.0100000000000002,2.87
156,Burger King,0,NJ,-5.5,4.87,5.05,15,15,18.5,13,3.03,2.9
158,KFC,0,NJ,0.5,4.5,5.05,10,11.5,8.5,9,3.96,4.38
159,KFC,0,NJ,2.5,4.5,5.25,10.5,11.5,14,16.5,4.17,4.28
162,Roy's,1,NJ,-2,4.75,5.05,16.5,15.5,23,21,3.2,3.17
166,Wendy's,0,NJ,-7.5,4.75,5.05,11.5,12.5,29,21.5,2.86,3.21
168,Burger King,0,NJ,1,4.25,5.25,15,16,19,20,2.96,3.2
171,Burger King,1,NJ,0.25,4.25,5.05,16,16,21,21.25,3.08,3.25
172,Burger King,0,NJ,4.5,4.75,5.05,12.5,13,17,21.5,3.2,3.17
173,Burger King,0,NJ,-5,4.85,5.05,17.5,18,36,31,2.9899999999999998,3.0300000000000002
174,Burger King,0,NJ,8,4.75,5.05,16,16,25,33,3.04,2.93
176,Burger King,0,NJ,8.25,4.62,5.05,16,16,29.5,37.75,NA,NA
178,KFC,1,NJ,-13,4.25,5.05,10,10.5,22,9,4.1,4.59
179,KFC,0,NJ,0,4.25,5.05,10.5,11,11,11,4.16,4.27
180,KFC,0,NJ,-0.75,4.5,5.05,11,12,13.5,12.75,4.73,4.95
182,KFC,0,NJ,-3,4.5,5.05,11,10,13.5,10.5,4.73,4.779999999999999
183,KFC,0,NJ,4,4.62,5.05,11,10.5,18,22,4.73,4.8
185,KFC,0,NJ,-1.5,4.5,5.05,10.5,10.5,9.5,8,4.73,4.8
186,Roy's,0,NJ,1,4.75,5.05,16,16,24,25,3.09,3.1799999999999997
189,Roy's,0,NJ,-2,4.75,5.05,15,15,14.5,12.5,3.3100000000000005,3.2199999999999998
192,Wendy's,0,NJ,-6.5,4.87,5.25,12,12.5,29,22.5,2.8200000000000003,3.1500000000000004
193,Wendy's,0,NJ,1,4.5,5.05,11,13,10.5,11.5,2.79,3.17
195,Wendy's,0,NJ,5.5,4.25,5.05,11.5,12.5,18,23.5,2.97,3.8899999999999997
199,KFC,0,NJ,7.5,4.35,5.05,10,10.5,9,16.5,3.9899999999999998,4.26
200,Burger King,0,NJ,-4,4.25,5.05,18,17.5,33,29,2.95,2.9699999999999998
201,Burger King,0,NJ,10.5,4.5,5.05,17,17,19.5,30,3.0300000000000002,2.95
202,Burger King,0,NJ,-18.5,4.25,5.05,19,19,41,22.5,2.75,2.7399999999999998
203,Burger King,0,NJ,7,4.25,5.05,17,17,17,24,2.96,2.95
204,Burger King,0,NJ,3.5,4.25,5.05,17.5,17.5,18.25,21.75,3.12,3.09
207,KFC,1,NJ,-3.5,4.75,5.2,12,12,17,13.5,4.25,4.21
208,Roy's,1,NJ,-8,4.62,5.05,17,14,32,24,2.98,3.17
209,Roy's,1,NJ,2.5,4.25,5.05,18,16,26,28.5,3.0700000000000003,3.2199999999999998
210,Wendy's,1,NJ,-1.5,4.5,5.05,11.5,11,11.5,10,2.96,NA
211,Burger King,0,NJ,2.5,4.5,5.05,15,15,21,23.5,2.92,NA
212,Burger King,0,NJ,7.75,4.5,5.05,16,16,22.75,30.5,2.78,2.88
213,Burger King,1,NJ,6.25,4.55,5.05,17.5,17.5,18.5,24.75,2.8200000000000003,2.9299999999999997
214,Burger King,0,NJ,2.5,4.62,5.05,16,16.25,20,22.5,2.8200000000000003,2.93
215,Burger King,0,NJ,10,4.5,5.05,16,16,18,28,2.8600000000000003,2.7
216,KFC,0,NJ,3.5,4.25,5.05,10.5,10.5,10.5,14,4.779999999999999,4.74
217,KFC,1,NJ,-1.5,4.25,5.05,10,10.5,10.5,9,3.88,3.9899999999999998
218,KFC,1,NJ,-1.5,4.35,5.05,10,11,11,9.5,3.9299999999999997,3.87
219,KFC,1,NJ,5,4.25,5.05,10,10.5,10.5,15.5,3.9899999999999998,4.199999999999999
220,KFC,0,NJ,-0.5,4.25,5.05,10,10,12.5,12,4.779999999999999,4.74
221,KFC,0,NJ,-6.5,4.6,5.05,11,11,18,11.5,4.53,4.52
222,Roy's,1,NJ,-4.5,4.25,5.05,12.5,11.5,17,12.5,3.0300000000000002,2.91
223,Roy's,1,NJ,1,4.75,5.05,16,15,15,16,NA,2.96
225,Roy's,1,NJ,9,4.75,5.05,17,17,19.5,28.5,2.8800000000000003,2.96
226,Wendy's,0,NJ,2,4.25,5.3,11.5,10.5,13,15,2.61,2.79
228,Wendy's,0,NJ,3.25,4.5,5.05,12.5,12.5,20.25,23.5,2.76,2.73
229,Burger King,0,NJ,4.5,4.5,5.5,13.5,13.5,26,30.5,2.96,2.8899999999999997
230,Burger King,0,NJ,11,4.25,5.05,17,17,15.5,26.5,2.92,2.9299999999999997
232,Burger King,0,NJ,3,4.75,5.05,16,15,24,27,2.96,2.95
233,Burger King,0,NJ,-4,4.65,5.05,16,16,25.5,21.5,3.0700000000000003,2.9299999999999997
237,Burger King,0,NJ,0,4.25,5.05,16,15.5,21.5,21.5,3.0700000000000003,2.88
238,KFC,1,NJ,23.5,4.75,5.05,12,12,14,37.5,4.42,4.42
239,KFC,0,NJ,-8.5,4.25,5.05,13.5,12.5,20,11.5,4.74,4.21
243,Roy's,1,NJ,-1.5,4.5,5.05,16.5,15.5,22.5,21,2.83,3.2199999999999998
244,Roy's,1,NJ,-2,4.25,5.05,18,17,30,28,3.31,3.2800000000000002
247,Wendy's,0,NJ,0,4.5,5.05,15.5,15.5,24,24,3.1700000000000004,4.27
248,Wendy's,0,NJ,1,4.75,5.05,16,16,22,23,2.97,4.35
249,Burger King,0,NJ,6,4.37,5.05,15,15,13,19,3.1399999999999997,2.96
250,KFC,1,NJ,2,4.5,5.05,10,10,5,7,NA,4.3
253,Roy's,1,NJ,0.5,4.87,5.05,13,16,13.5,14,4.59,4.619999999999999
258,Burger King,0,NJ,14,4.25,5.05,16,18,18,32,2.88,2.86
260,Burger King,1,NJ,-2,4.25,5.05,16,16,24,22,2.87,2.9600000000000004
262,Burger King,0,NJ,-2.25,4.25,5.05,16.5,17.5,16.5,14.25,3.07,2.97
264,Burger King,0,NJ,9.5,4.25,5.05,15,16,7,16.5,2.81,3.1
267,Burger King,0,NJ,28,4.25,5.05,16,16,19.5,47.5,2.5,2.8400000000000003
269,KFC,1,NJ,5.5,4.45,5.05,10,11,10,15.5,3.1399999999999997,3.9899999999999998
273,KFC,1,NJ,-2.5,4.62,5.05,10,10,13,10.5,4.029999999999999,4.01
275,KFC,1,NJ,-3,4.25,5.05,11,10.5,10,7,4.08,3.9899999999999998
277,KFC,1,NJ,-1.5,4.25,5.05,10,10,12.5,11,4.14,3.9899999999999998
278,KFC,1,NJ,0.5,4.25,5.05,10,11,8,8.5,3.88,4
284,Roy's,1,NJ,-5.5,4.5,5.05,16,16,20.5,15,2.8400000000000003,2.96
285,Roy's,1,NJ,-5,4.75,5.05,16,16,18.5,13.5,2.7300000000000004,3.0300000000000002
286,Roy's,1,NJ,1,4.75,5.05,11.5,11.5,11.5,12.5,NA,2.97
287,Roy's,1,NJ,-2.5,4.5,5.05,16,16,15,12.5,2.92,2.96
288,Roy's,1,NJ,-0.5,4.75,5.05,16,16,13,12.5,2.92,2.91
289,Roy's,1,NJ,0,4.25,5.05,16,15,10,10,2.92,4.02
290,Wendy's,0,NJ,-3.5,4.75,5.05,12.5,11.5,17,13.5,2.79,2.79
291,Wendy's,0,NJ,-1,4.55,5.1,11.5,11.5,17,16,2.76,2.79
292,Wendy's,0,NJ,3,4.8,5.05,16,16,20.5,23.5,2.8200000000000003,4.529999999999999
297,Burger King,1,NJ,14.5,4.25,5.05,16,16,19.5,34,2.95,2.9699999999999998
303,Roy's,1,NJ,2,4.35,5.05,17,16,30.5,32.5,3.14,3.1500000000000004
304,Roy's,0,NJ,-1.5,4.5,5.05,17,24,23,21.5,4.78,3.74
305,Roy's,1,NJ,7,4.39,5.05,17,18,13,20,3.6,3.7300000000000004
307,Roy's,1,NJ,13.25,4.25,5.2,18,24,30.25,43.5,3.44,NA
310,Wendy's,0,NJ,-0.5,4.25,5.05,11.5,11.5,18,17.5,3.76,3.93
312,Burger King,0,NJ,-3,4.25,5.05,11,10,10,7,3.2100000000000004,3.33
314,Burger King,0,NJ,5,4.62,5.25,15,16,17,22,2.92,2.73
316,Burger King,1,NJ,-3.5,4.62,5.05,16,16,25.5,22,2.85,2.9299999999999997
317,Burger King,0,NJ,1,4.25,5.05,12,10.5,6,7,3.11,3.3600000000000003
318,KFC,0,NJ,2.5,4.75,5.05,12,11.5,11.5,14,4.82,4.65
319,KFC,0,NJ,18.5,4.62,5.05,12.5,11.5,8.5,27,5.86,4.28
322,Roy's,1,NJ,0,4.75,5.05,16,15,18.5,18.5,3.14,2.91
325,Roy's,1,NJ,-4,4.5,5.05,15,15,15.5,11.5,2.9400000000000004,3.04
333,Burger King,0,NJ,1.75,4.25,5.05,15,15,14.25,16,2.7199999999999998,2.7800000000000002
336,Burger King,0,NJ,-13,4.5,5.05,15,16,38,25,2.8600000000000003,2.94
337,Burger King,1,NJ,5.75,4.87,5.05,17,17,24.75,30.5,2.9200000000000004,NA
339,Burger King,1,NJ,-11.5,4.25,5.05,16,16,23,11.5,2.8600000000000003,2.8499999999999996
340,Burger King,0,NJ,1.5,4.25,5.05,14.5,16,24,25.5,2.76,2.73
