"id","state","time","wage","fte"
"116","NJ","before",4.25,17.25
"116","NJ","after",5.05,31
"118","NJ","before",4.25,21.5
"118","NJ","after",5.05,31
"119","NJ","before",4.75,24.5
"119","NJ","after",5.05,28.5
"120","NJ","before",4.5,19
"120","NJ","after",5.05,19
"122","NJ","before",4.25,25
"122","NJ","after",5.05,41
"124","NJ","before",4.25,16
"124","NJ","after",5.05,28
"125","NJ","before",4.5,19
"125","NJ","after",5.05,9.5
"130","NJ","before",4.5,22.75
"130","NJ","after",5.05,25
"132","NJ","before",4.5,35
"132","NJ","after",5.5,28
"133","NJ","before",4.75,16
"133","NJ","after",5.05,16
"134","NJ","before",4.62,21
"134","NJ","after",5.05,22.75
"136","NJ","before",4.25,26.75
"136","NJ","after",NA,NA
"137","NJ","before",4.25,30.5
"137","NJ","after",5.05,32
"140","NJ","before",4.5,23
"140","NJ","after",5.67,27.5
"141","NJ","before",4.75,21.5
"141","NJ","after",5.05,25.5
"142","NJ","before",4.25,36.5
"142","NJ","after",5.05,60.5
"146","NJ","before",4.8,23
"146","NJ","after",5.05,20.5
"149","NJ","before",4.5,14
"149","NJ","after",5.05,16
"150","NJ","before",4.67,17.25
"150","NJ","after",5.75,25
"156","NJ","before",4.87,18.5
"156","NJ","after",5.05,13
"158","NJ","before",4.5,8.5
"158","NJ","after",5.05,9
"159","NJ","before",4.5,14
"159","NJ","after",5.25,16.5
"162","NJ","before",4.75,23
"162","NJ","after",5.05,21
"166","NJ","before",4.75,29
"166","NJ","after",5.05,21.5
"168","NJ","before",4.25,19
"168","NJ","after",5.25,20
"171","NJ","before",4.25,21
"171","NJ","after",5.05,21.25
"172","NJ","before",4.75,17
"172","NJ","after",5.05,21.5
"173","NJ","before",4.85,36
"173","NJ","after",5.05,31
"174","NJ","before",4.75,25
"174","NJ","after",5.05,33
"176","NJ","before",4.62,29.5
"176","NJ","after",5.05,37.75
"178","NJ","before",4.25,22
"178","NJ","after",5.05,9
"179","NJ","before",4.25,11
"179","NJ","after",5.05,11
"180","NJ","before",4.5,13.5
"180","NJ","after",5.05,12.75
"182","NJ","before",4.5,13.5
"182","NJ","after",5.05,10.5
"183","NJ","before",4.62,18
"183","NJ","after",5.05,22
"185","NJ","before",4.5,9.5
"185","NJ","after",5.05,8
"186","NJ","before",4.75,24
"186","NJ","after",5.05,25
"189","NJ","before",4.75,14.5
"189","NJ","after",5.05,12.5
"192","NJ","before",4.87,29
"192","NJ","after",5.25,22.5
"193","NJ","before",4.5,10.5
"193","NJ","after",5.05,11.5
"195","NJ","before",4.25,18
"195","NJ","after",5.05,23.5
"198","NJ","before",4.25,NA
"198","NJ","after",5.05,30
"199","NJ","before",4.35,9
"199","NJ","after",5.05,16.5
"200","NJ","before",4.25,33
"200","NJ","after",5.05,29
"201","NJ","before",4.5,19.5
"201","NJ","after",5.05,30
"202","NJ","before",4.25,41
"202","NJ","after",5.05,22.5
"203","NJ","before",4.25,17
"203","NJ","after",5.05,24
"204","NJ","before",4.25,18.25
"204","NJ","after",5.05,21.75
"207","NJ","before",4.75,17
"207","NJ","after",5.2,13.5
"208","NJ","before",4.62,32
"208","NJ","after",5.05,24
"209","NJ","before",4.25,26
"209","NJ","after",5.05,28.5
"210","NJ","before",4.5,11.5
"210","NJ","after",5.05,10
"211","NJ","before",4.5,21
"211","NJ","after",5.05,23.5
"212","NJ","before",4.5,22.75
"212","NJ","after",5.05,30.5
"213","NJ","before",4.55,18.5
"213","NJ","after",5.05,24.75
"214","NJ","before",4.62,20
"214","NJ","after",5.05,22.5
"215","NJ","before",4.5,18
"215","NJ","after",5.05,28
"216","NJ","before",4.25,10.5
"216","NJ","after",5.05,14
"217","NJ","before",4.25,10.5
"217","NJ","after",5.05,9
"218","NJ","before",4.35,11
"218","NJ","after",5.05,9.5
"219","NJ","before",4.25,10.5
"219","NJ","after",5.05,15.5
"220","NJ","before",4.25,12.5
"220","NJ","after",5.05,12
"221","NJ","before",4.6,18
"221","NJ","after",5.05,11.5
"222","NJ","before",4.25,17
"222","NJ","after",5.05,12.5
"223","NJ","before",4.75,15
"223","NJ","after",5.05,16
"225","NJ","before",4.75,19.5
"225","NJ","after",5.05,28.5
"226","NJ","before",4.25,13
"226","NJ","after",5.3,15
"228","NJ","before",4.5,20.25
"228","NJ","after",5.05,23.5
"229","NJ","before",4.5,26
"229","NJ","after",5.5,30.5
"230","NJ","before",4.25,15.5
"230","NJ","after",5.05,26.5
"232","NJ","before",4.75,24
"232","NJ","after",5.05,27
"233","NJ","before",4.65,25.5
"233","NJ","after",5.05,21.5
"235","NJ","before",4.25,14.5
"235","NJ","after",5.05,NA
"237","NJ","before",4.25,21.5
"237","NJ","after",5.05,21.5
"238","NJ","before",4.75,14
"238","NJ","after",5.05,37.5
"239","NJ","before",4.25,20
"239","NJ","after",5.05,11.5
"243","NJ","before",4.5,22.5
"243","NJ","after",5.05,21
"244","NJ","before",4.25,30
"244","NJ","after",5.05,28
"247","NJ","before",4.5,24
"247","NJ","after",5.05,24
"248","NJ","before",4.75,22
"248","NJ","after",5.05,23
"249","NJ","before",4.37,13
"249","NJ","after",5.05,19
"250","NJ","before",4.5,5
"250","NJ","after",5.05,7
"253","NJ","before",4.87,13.5
"253","NJ","after",5.05,14
"257","NJ","before",4.25,28
"257","NJ","after",NA,NA
"258","NJ","before",4.25,18
"258","NJ","after",5.05,32
"260","NJ","before",4.25,24
"260","NJ","after",5.05,22
"262","NJ","before",4.25,16.5
"262","NJ","after",5.05,14.25
"264","NJ","before",4.25,7
"264","NJ","after",5.05,16.5
"265","NJ","before",4.25,11
"265","NJ","after",NA,0
"267","NJ","before",4.25,19.5
"267","NJ","after",5.05,47.5
"269","NJ","before",4.45,10
"269","NJ","after",5.05,15.5
"273","NJ","before",4.62,13
"273","NJ","after",5.05,10.5
"275","NJ","before",4.25,10
"275","NJ","after",5.05,7
"277","NJ","before",4.25,12.5
"277","NJ","after",5.05,11
"278","NJ","before",4.25,8
"278","NJ","after",5.05,8.5
"282","NJ","before",4.25,12
"282","NJ","after",NA,0
"284","NJ","before",4.5,20.5
"284","NJ","after",5.05,15
"285","NJ","before",4.75,18.5
"285","NJ","after",5.05,13.5
"286","NJ","before",4.75,11.5
"286","NJ","after",5.05,12.5
"287","NJ","before",4.5,15
"287","NJ","after",5.05,12.5
"288","NJ","before",4.75,13
"288","NJ","after",5.05,12.5
"289","NJ","before",4.25,10
"289","NJ","after",5.05,10
"290","NJ","before",4.75,17
"290","NJ","after",5.05,13.5
"291","NJ","before",4.55,17
"291","NJ","after",5.1,16
"292","NJ","before",4.8,20.5
"292","NJ","after",5.05,23.5
"295","NJ","before",4.75,15.5
"295","NJ","after",5.05,NA
"297","NJ","before",4.25,19.5
"297","NJ","after",5.05,34
"303","NJ","before",4.35,30.5
"303","NJ","after",5.05,32.5
"304","NJ","before",4.5,23
"304","NJ","after",5.05,21.5
"305","NJ","before",4.39,13
"305","NJ","after",5.05,20
"307","NJ","before",4.25,30.25
"307","NJ","after",5.2,43.5
"310","NJ","before",4.25,18
"310","NJ","after",5.05,17.5
"312","NJ","before",4.25,10
"312","NJ","after",5.05,7
"313","NJ","before",4.5,19.5
"313","NJ","after",5.05,NA
"314","NJ","before",4.62,17
"314","NJ","after",5.25,22
"316","NJ","before",4.62,25.5
"316","NJ","after",5.05,22
"317","NJ","before",4.25,6
"317","NJ","after",5.05,7
"318","NJ","before",4.75,11.5
"318","NJ","after",5.05,14
"319","NJ","before",4.62,8.5
"319","NJ","after",5.05,27
"322","NJ","before",4.75,18.5
"322","NJ","after",5.05,18.5
"325","NJ","before",4.5,15.5
"325","NJ","after",5.05,11.5
"333","NJ","before",4.25,14.25
"333","NJ","after",5.05,16
"336","NJ","before",4.5,38
"336","NJ","after",5.05,25
"337","NJ","before",4.87,24.75
"337","NJ","after",5.05,30.5
"339","NJ","before",4.25,23
"339","NJ","after",5.05,11.5
"340","NJ","before",4.25,24
"340","NJ","after",5.05,25.5
"341","NJ","before",4.62,7.5
"341","NJ","after",5.05,9.5
"343","NJ","before",4.75,15
"343","NJ","after",5.05,11.5
"346","NJ","before",4.25,9.25
"346","NJ","after",NA,12
"348","NJ","before",4.25,11.25
"348","NJ","after",NA,0
"350","NJ","before",4.75,16.5
"350","NJ","after",5.05,17
"351","NJ","before",4.25,18.75
"351","NJ","after",5.05,24
"352","NJ","before",4.75,13.5
"352","NJ","after",NA,NA
"353","NJ","before",4.37,21.75
"353","NJ","after",5.05,NA
"355","NJ","before",4.87,13.5
"355","NJ","after",NA,13.5
"359","NJ","before",4.25,15
"359","NJ","after",5.05,17
"360","NJ","before",4.25,17.5
"360","NJ","after",5.05,28
"361","NJ","before",4.25,17.5
"361","NJ","after",5.05,21.5
"362","NJ","before",4.25,NA
"362","NJ","after",5.05,30
"363","NJ","before",4.25,15.5
"363","NJ","after",5.2,19.5
"364","NJ","before",4.25,16.5
"364","NJ","after",5.05,20
"366","NJ","before",4.5,13.5
"366","NJ","after",5.05,14.5
"368","NJ","before",4.25,13
"368","NJ","after",5.05,14.5
"369","NJ","before",4.35,11.5
"369","NJ","after",NA,0
"370","NJ","before",4.85,29.05
"370","NJ","after",5.05,31.5
"376","NJ","before",4.5,13
"376","NJ","after",5.05,11.5
"377","NJ","before",4.25,18
"377","NJ","after",5.05,20
"379","NJ","before",4.62,30
"379","NJ","after",5.05,34
"380","NJ","before",4.5,20.5
"380","NJ","after",5.05,25
"383","NJ","before",4.5,10
"383","NJ","after",5.05,10
"384","NJ","before",4.65,NA
"384","NJ","after",5.05,18
"385","NJ","before",4.25,26
"385","NJ","after",5.05,25
"386","NJ","before",4.25,12.5
"386","NJ","after",5.05,23
"391","NJ","before",4.25,19.5
"391","NJ","after",5.05,17.5
"393","NJ","before",4.62,12
"393","NJ","after",5.25,23
"396","NJ","before",4.87,36
"396","NJ","after",5.4,26
"397","NJ","before",4.25,21
"397","NJ","after",5.05,16.5
"398","NJ","before",4.75,24.5
"398","NJ","after",5.05,35.5
"399","NJ","before",4.87,20
"399","NJ","after",5.05,31
"400","NJ","before",4.5,26.5
"400","NJ","after",5.05,23
"401","NJ","before",4.25,15
"401","NJ","after",5.05,22.5
"402","NJ","before",4.75,19
"402","NJ","after",5.05,21.5
"405","NJ","before",4.32,17.5
"405","NJ","after",5.05,12
"410","NJ","before",4.25,20.5
"410","NJ","after",5.05,20.5
"411","NJ","before",4.5,21
"411","NJ","after",5.05,25
"412","NJ","before",4.5,10.5
"412","NJ","after",5.05,8.5
"413","NJ","before",4.25,23
"413","NJ","after",5.05,13
"414","NJ","before",4.25,23
"414","NJ","after",5.05,21.5
"415","NJ","before",4.25,29
"415","NJ","after",5.05,23
"417","NJ","before",4.25,21
"417","NJ","after",5.05,25.5
"418","NJ","before",4.25,41.5
"418","NJ","after",5.05,21.5
"419","NJ","before",4.25,12
"419","NJ","after",5.05,9.5
"421","NJ","before",4.62,33
"421","NJ","after",5.05,36.5
"422","NJ","before",4.75,6.5
"422","NJ","after",5.05,16
"423","NJ","before",4.95,9
"423","NJ","after",5.25,23.75
"424","NJ","before",4.75,9.75
"424","NJ","after",5.25,17.5
"426","NJ","before",4.25,24.5
"426","NJ","after",5.05,20.5
"427","NJ","before",4.75,14
"427","NJ","after",5.05,20.5
"428","NJ","before",4.62,19.5
"428","NJ","after",5.14,25
